dateE,latitude,longitude,depth,mag,gap,id,place
09-04-2023,8.5816,93.9431,10,4.2,161,us6000k4h4,"Nicobar Islands, India region"
09-04-2023,9.3723,93.8096,10,4.1,84,us6000k4h1,"279 km SSE of Port Blair, India"
09-04-2023,9.0116,93.9224,10,5.2,37,us6000k34r,"Nicobar Islands, India region"
09-04-2023,13.2395,93.1777,43.596,4.3,58,us6000k347,"Andaman Islands, India region"
09-04-2023,8.9466,93.9623,10.41,4.4,107,us6000k31k,"Nicobar Islands, India region"
09-04-2023,8.9733,93.8322,10,4.3,97,us6000k4gt,"Nicobar Islands, India region"
09-04-2023,9.1656,94.1407,10,4.2,106,us6000k4gn,"Nicobar Islands, India region"
09-04-2023,8.966,93.9695,10,5.7,40,us6000k314,"Nicobar Islands, India region"
09-04-2023,9.1044,93.9484,10.287,4.4,65,us6000k4gk,"Nicobar Islands, India region"
09-04-2023,9.0886,93.9474,10,4.9,45,us6000k4gl,"Nicobar Islands, India region"
09-04-2023,9.0979,93.9434,10.438,4.6,69,us6000k2zp,"Nicobar Islands, India region"
09-04-2023,9.096,94.0003,10,5.3,43,us6000k2z6,"Nicobar Islands, India region"
09-04-2023,9.1594,93.6124,10,4.3,128,us6000k4ga,"293 km SSE of Port Blair, India"
08-04-2023,9.1198,94.0206,10,4.4,92,us6000k4f1,"Nicobar Islands, India region"
08-04-2023,9.1421,93.9949,11.543,4.3,76,us6000k4es,"Nicobar Islands, India region"
04-04-2023,9.058,93.9052,9.989,5,44,us6000k1zc,"Nicobar Islands, India region"
03-04-2023,25.8896,90.446,10,4.4,85,us6000k2fw,"20 km SE of Lakhipur, India"
31-03-2023,11.8777,93.7469,126.636,4.2,87,us6000k16v,"111 km ENE of Port Blair, India"
24-03-2023,24.1675,93.794,78.995,4.4,73,us6000k0lk,"Manipur, India region"
15-03-2023,9.6093,93.7038,114.367,4,99,us7000jlgi,"250 km SSE of Port Blair, India"
13-03-2023,11.0773,91.7251,36.766,4.4,113,us7000jkv8,"128 km WSW of Bamboo Flat, India"
